QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
ibanking.pnbuat.bank.in,2001:df1:1580::224:47,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-28T23:59:59+00:00,ok,45.0,Moderate
icms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
icmsuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
icorp.pnb.bank.in,103.109.227.173,443,Unknown,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
icorpplus.pnb.bank.in,103.109.225.65,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-01T23:59:59+00:00,ok,45.0,Moderate
icorpplus.pnbuat.bank.in,103.109.225.64,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ifmsjpr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
ifmsjprapi.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
images.pnb.bank.in,1.7.178.31,443,Unknown,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-10T23:59:59+00:00,ok,35.0,Moderate
imps.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
instaloans.pnb.bank.in,103.109.224.158,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,45.0,Moderate
instaloans.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
instaloans.pnbuat.bank.in,103.109.224.94,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,45.0,Moderate
insurance.pnb.bank.in,103.109.225.21,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
internetbanking.netpnb.com,103.109.227.117,443,Web Application,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
iretail.pnb.bank.in,103.109.227.174,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
join.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
kc.pnb.bank.in,103.109.224.154,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-08T23:59:59+00:00,ok,45.0,Moderate
kccdigireview.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
kccrenewal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
kmt.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
kyc360.pnb.bank.in,103.109.225.8,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-09T10:56:04+00:00,ok,45.0,Moderate
kyc360.pnbuat.bank.in,103.109.224.128,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-30T11:01:02+00:00,ok,35.0,Moderate
lens.pnb.bank.in,103.109.224.160,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
lens2.pnb.bank.in,2001:df1:1580::225:fc,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
lens2.pnbuat.bank.in,103.109.225.253,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-02-23T07:56:22+00:00,ok,35.0,Moderate
lens2dr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
lens2preprod.pnb.bank.in,2001:df1:1580::225:fe,443,Domain,,,,,Unknown,—,,error,80.0,Critical
lensconnect.pnb.bank.in,2001:df1:1580::225:fb,443,Domain,,,,,Unknown,—,,error,80.0,Critical
lensconnect.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
lensconnectdr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
lensconnectpreprod.pnb.bank.in,2001:df1:1580::225:fd,443,Domain,,,,,Unknown,—,,error,80.0,Critical
loanrepay.pnb.bank.in,103.109.225.21,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
locate.pnb.bank.in,3.6.225.139,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,4096,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-01-31T09:16:10+00:00,ok,45.0,Moderate
locate.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
locate.pnbuat.bank.in,3.6.225.139,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,4096,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-31T11:06:01+00:00,ok,45.0,Moderate
lockeragreement.pnb.bank.in,103.109.224.39,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,35.0,Moderate
lockeragreement.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
loylty.pnbuat.bank.in,182.18.141.62,443,Web Application,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T09:21:07+00:00,ok,45.0,Moderate
mbs.pnb.bank.in,103.109.224.151,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-07T08:06:02+00:00,ok,45.0,Moderate
mcaapi.pnb.bank.in,103.109.227.36,443,Unknown,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,localhost.localdomain,2034-09-01T02:44:01+00:00,ok,45.0,Moderate
mdcportal.pnb.bank.in,103.109.225.139,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mdm.pnb.bank.in,103.109.224.157,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
meet.pnb.bank.in,103.122.156.69,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
mobapps.pnb.bank.in,103.109.225.153,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
mobapps.pnbuat.bank.in,103.109.225.41,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-29T23:59:59+00:00,ok,45.0,Moderate
mobile.netpnb.com,103.109.224.127,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mosmtp.pnb.bank.in,1.7.178.49,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
mtdapimbs.pnb.bank.in,103.109.224.63,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mtdapimbs.pnbuat.bank.in,103.109.224.155,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mtdappmbs.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
mtdrelmbs.pnb.bank.in,103.109.224.62,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
mtdrelmbs.pnbuat.bank.in,103.109.225.20,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mtdstmbs.pnb.bank.in,103.109.224.70,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mtdstmbs.pnbuat.bank.in,103.109.225.116,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mvc.pnb.bank.in,103.109.225.200,443,Cdn Proxy,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-09T07:16:11+00:00,ok,45.0,Moderate
mvc.pnbuat.bank.in,103.109.224.58,443,Ssl Certificate,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
mvcapi.pnb.bank.in,103.109.225.200,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-09T07:16:17+00:00,ok,45.0,Moderate
mvcapi.pnbuat.bank.in,103.109.225.58,443,Domain,,,,,Unknown,—,,error,80.0,Critical
mypnb.pnb.bank.in,103.109.225.21,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
ncrp.pnbindia.in,103.109.225.248,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ncrpuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
netbanking.netpnb.com,103.109.227.118,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
netc-signing.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
netc.pnb.bank.in,172.184.12.107,443,Domain,,,,,Unknown,—,,error,80.0,Critical
netcm2p.pnb.bank.in,172.184.12.107,443,Domain,,,,,Unknown,—,,error,80.0,Critical
netcsigning.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
netpnb.com,103.109.227.119,443,Web Application,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-20T23:59:59+00:00,ok,45.0,Moderate
netpnb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
nms.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
npciservices.pnb.bank.in,103.109.224.229,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
ns5.pnbuat.bank.in,111.118.178.209,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ns6.pnbuat.bank.in,111.118.178.210,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlineca.pnbuat.bank.in,103.109.224.128,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-13T05:06:18+00:00,ok,45.0,Moderate
onlinesavings.pnbuat.bank.in,103.109.225.5,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-03-14T10:56:13+00:00,ok,45.0,Moderate
onlinesb-cc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlinesb-mps.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlinesb-vcs.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlinesb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlinesbvcs2.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
onlinetd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
onlinetd.pnbuat.bank.in,2001:df1:1580::224:98,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2027-04-08T12:21:18+00:00,ok,45.0,Moderate
owa.pnbindia.in,,443,Mail Server,,,,,Unknown,—,,error,80.0,Critical
p22cucm1-expwaye1.pnb.bank.in,103.122.156.69,443,Unknown,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
p22cucm1-expwaye2.pnb.bank.in,103.122.156.66,443,Unknown,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,4096,Yes,GeoTrust EV RSA CA G2,2026-08-27T23:59:59+00:00,ok,45.0,Moderate
pa.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pabl.pnb.bank.in,2001:df1:1580::224:a1,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-12T23:59:59+00:00,ok,35.0,Moderate
pabl.pnbuat.bank.in,2001:df1:1580::225:53,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
payapps.pnb.bank.in,103.109.224.15,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
pfms.pnb.bank.in,103.109.225.178,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pfmsrrb.pnb.bank.in,103.109.224.220,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
pfmsrrb.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
plvkyc-vcs.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
plvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnb-disc-private-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-disc-private.prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-harbor-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-kibana-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-minioapi-dr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-minioapi-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-miniolb-dr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-miniolb-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-atws.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-chat.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-dwp.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-dwpcatalog.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-int.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-is.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-restapi.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-smartit.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-sr.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-supportassisttool.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd-vchat.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-private-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-rsso-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb-tms-prd.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnb.bank.in,49.50.72.184,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-10T23:59:59+00:00,ok,45.0,Moderate
pnbamsagribhopalapiuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbamsagribhopaluat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbapi.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
pnbapps.pnb.bank.in,103.109.224.236,443,Api,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
pnbbksy.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbbksyapi.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbbksyapiuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbbksyuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbcbdc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbcbdcr.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbfirst.pnb.bank.in,45.60.3.89,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
pnbfirst.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbindia.in,49.50.72.206,443,Web Server,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-08T23:59:59+00:00,ok,48.0,Moderate
pnbinsightx.pnb.bank.in,103.109.225.172,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-09T06:11:03+00:00,ok,45.0,Moderate
pnbkisan.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbkisanuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbmetaverse.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbnet.pnb.bank.in,103.109.224.142,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
pnbpfms.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbpuducherrybcmwdapiuat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbpuducherrybcmwduat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbpuducherrydat.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbpuducherrydatapi.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbtfr.pnb.bank.in,103.109.224.177,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-24T23:59:59+00:00,ok,45.0,Moderate
pnbtfr.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbtfr.pnbuat.bank.in,103.109.225.80,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-08T23:59:59+00:00,ok,35.0,Moderate
pnbuat.bank.in,49.50.77.157,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-10T23:59:59+00:00,ok,45.0,Moderate
pnbuatcbdc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbuk.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbuniv.pnb.bank.in,103.109.224.132,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-22T23:59:59+00:00,ok,35.0,Moderate
pnbvkyc-agent.pnbindia.in,4.187.129.133,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-05-13T23:59:59+00:00,ok,48.0,Moderate
pnbvkyc-agentadmin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbvkyc-auditor.pnbindia.in,4.187.129.133,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-05-13T23:59:59+00:00,ok,48.0,Moderate
pnbvkyc-auditoradmin.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
pnbvkyc.pnb.bank.in,4.187.129.133,443,Unknown,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
pnbvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
ppay.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
puducherrybcmwd.pnbuat.bank.in,103.109.224.58,443,Ssl Certificate,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
puducherrybcmwdapi.pnbuat.bank.in,103.109.225.58,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
puducherrydat.pnb.bank.in,103.109.225.99,443,Cdn Proxy,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-09T07:16:23+00:00,ok,45.0,Moderate
puducherrydatapi.pnb.bank.in,103.109.224.99,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-11-09T07:21:02+00:00,ok,45.0,Moderate
rekyc.pnb.bank.in,103.109.224.69,443,Domain,,,,,Unknown,—,,error,80.0,Critical
rekyc.pnbuat.bank.in,103.109.225.68,443,Web Application,TLSv1.3,TLS_AES_256_GCM_SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-28T05:51:01+00:00,ok,45.0,Moderate
rekycrrb.pnb.bank.in,103.109.224.104,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-12-06T04:31:21+00:00,ok,45.0,Moderate
remote.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
remote.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
retmbs.pnb.bank.in,103.109.225.171,443,Web Application,TLSv1.2,ECDHE-RSA-CHACHA20-POLY1305,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-21T23:59:59+00:00,ok,45.0,Moderate
retmbs.pnbuat.bank.in,103.109.224.22,443,Web Server,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-06T23:59:59+00:00,ok,45.0,Moderate
rewardz.pnb.bank.in,202.65.143.115,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T09:26:01+00:00,ok,45.0,Moderate
rrbapps.pnb.bank.in,103.109.225.247,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
saral.creditcard.pnb.bank.in,103.109.224.231,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-24T23:59:59+00:00,ok,45.0,Moderate
sdc.pnbuat.bank.in,103.109.225.27,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-29T23:59:59+00:00,ok,45.0,Moderate
secure.netpnb.com,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
securedc.pnb.bank.in,1.6.46.84,443,Domain,,,,,Unknown,—,,error,80.0,Critical
securedr.pnb.bank.in,1.7.178.10,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
secureportal.pnb.bank.in,2001:df1:1580::224:100,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
share.pnb.bank.in,103.109.224.149,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,Thawte TLS RSA CA G1,2026-09-11T23:59:59+00:00,ok,45.0,Moderate
sit.digitalbanking.pnbuat.bank.in,103.109.225.5,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
slbcbengal.pnb.bank.in,49.50.72.207,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcbengal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbcchandigarh.pnb.bank.in,49.50.72.144,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcchandigarh.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbcdataportal.pnb.bank.in,49.50.81.102,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcdataportal.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
slbcdelhi.pnb.bank.in,49.50.81.77,443,Unknown,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-08-26T23:59:59+00:00,ok,45.0,Moderate
slbcdelhi.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
